Year,Road Segment ID,Road Name,Length(km),Vehicle Type,Vehicle Classification,Traffic Density,Total AADT
2022,C:1,RECTO,3.24,Private,Car,8515,27587
2022,C:2,MENDOZA,6.61,Private,Car,12579,83148
2022,C:2,PRES. QUIRINO AVE.,3.6,Private,Car,19083,68697
2022,C:3,ARANETA AVE.,10.76,Private,Car,5576,59994
2022,C:4,EDSA,23.08,Private,Car,8785,202764
2022,C:5,C.P. GARCIA / KATIPUNAN AVE. / TANDANG SORA,43,Private,Car,2175,93513
2022,R:1,ROXAS BLVD.,11.47,Private,Car,7881,90400
2022,R:2,TAFT AVE.,16.5,Private,Car,4481,73942
2022,R:3,SSH,24.27,Private,Car,6034,146455
2022,R:4,SHAW BLVD.,7.68,Private,Car,6194,47568
2022,R:5,ORTIGAS AVE.,5.54,Private,Car,11981,66372
2022,R:6,MAGSAYSAY BLVD.,2.2,Private,Car,21675,47686
2022,R:6,AURORA BLVD.,11.42,Private,Car,3792,43305
2022,R:7,QUEZON AVE.,7.73,Private,Car,16878,130465
2022,R:7,COMMONWEALTH AVE.,12.4,Private,Car,12341,153029
2022,R:8,A. BONIFACIO,15.98,Private,Car,2423,38715
2022,R:9,RIZAL AVE.,15.95,Private,Car,1876,29917
2022,R:10,DEL PAN,7.32,Private,Car,4702,34415
2022,MARCOS HIGHWAY,MARCOS HIGHWAY,3.7,Private,Car,27128,100373
2022,MCARTHUR HIGHWAY,MCARTHUR HIGHWAY,8.35,Private,Car,2961,24724
2022,C:1,RECTO,3.24,Public,PUJ,2083,6749
2022,C:2,MENDOZA,6.61,Public,PUJ,79,523
2022,C:2,PRES. QUIRINO AVE.,3.6,Public,PUJ,2,6
2022,C:3,ARANETA AVE.,10.76,Public,PUJ,1,14
2022,C:4,EDSA,23.08,Public,PUJ,78,1803
2022,C:5,C.P. GARCIA / KATIPUNAN AVE. / TANDANG SORA,43,Public,PUJ,9,405
2022,R:1,ROXAS BLVD.,11.47,Public,PUJ,6,68
2022,R:2,TAFT AVE.,16.5,Public,PUJ,886,14622
2022,R:3,SSH,24.27,Public,PUJ,182,4413
2022,R:4,SHAW BLVD.,7.68,Public,PUJ,331,2545
2022,R:5,ORTIGAS AVE.,5.54,Public,PUJ,4397,24357
2022,R:6,MAGSAYSAY BLVD.,2.2,Public,PUJ,2793,6144
2022,R:6,AURORA BLVD.,11.42,Public,PUJ,697,7954
2022,R:7,QUEZON AVE.,7.73,Public,PUJ,363,2806
2022,R:7,COMMONWEALTH AVE.,12.4,Public,PUJ,445,5520
2022,R:8,A. BONIFACIO,15.98,Public,PUJ,200,3202
2022,R:9,RIZAL AVE.,15.95,Public,PUJ,449,7154
2022,R:10,DEL PAN,7.32,Public,PUJ,90,656
2022,MARCOS HIGHWAY,MARCOS HIGHWAY,3.7,Public,PUJ,2125,7861
2022,MCARTHUR HIGHWAY,MCARTHUR HIGHWAY,8.35,Public,PUJ,488,4074
2022,C:1,RECTO,3.24,Public,UV,233,756
2022,C:2,MENDOZA,6.61,Public,UV,37,243
2022,C:2,PRES. QUIRINO AVE.,3.6,Public,UV,23,81
2022,C:3,ARANETA AVE.,10.76,Public,UV,1,16
2022,C:4,EDSA,23.08,Public,UV,107,2475
2022,C:5,C.P. GARCIA / KATIPUNAN AVE. / TANDANG SORA,43,Public,UV,62,2668
2022,R:1,ROXAS BLVD.,11.47,Public,UV,215,2461
2022,R:2,TAFT AVE.,16.5,Public,UV,464,7648
2022,R:3,SSH,24.27,Public,UV,10,246
2022,R:4,SHAW BLVD.,7.68,Public,UV,184,1412
2022,R:5,ORTIGAS AVE.,5.54,Public,UV,804,4454
2022,R:6,MAGSAYSAY BLVD.,2.2,Public,UV,417,917
2022,R:6,AURORA BLVD.,11.42,Public,UV,186,2121
2022,R:7,QUEZON AVE.,7.73,Public,UV,383,2963
2022,R:7,COMMONWEALTH AVE.,12.4,Public,UV,341,4223
2022,R:8,A. BONIFACIO,15.98,Public,UV,5,72
2022,R:9,RIZAL AVE.,15.95,Public,UV,2,28
2022,R:10,DEL PAN,7.32,Public,UV,6,43
2022,MARCOS HIGHWAY,MARCOS HIGHWAY,3.7,Public,UV,218,805
2022,MCARTHUR HIGHWAY,MCARTHUR HIGHWAY,8.35,Public,UV,1,8
2022,C:1,RECTO,3.24,Public,Taxi,1097,3554
2022,C:2,MENDOZA,6.61,Public,Taxi,815,5384
2022,C:2,PRES. QUIRINO AVE.,3.6,Public,Taxi,1101,3963
2022,C:3,ARANETA AVE.,10.76,Public,Taxi,256,2758
2022,C:4,EDSA,23.08,Public,Taxi,788,18186
2022,C:5,C.P. GARCIA / KATIPUNAN AVE. / TANDANG SORA,43,Public,Taxi,96,4123
2022,R:1,ROXAS BLVD.,11.47,Public,Taxi,786,9018
2022,R:2,TAFT AVE.,16.5,Public,Taxi,298,4923
2022,R:3,SSH,24.27,Public,Taxi,326,7920
2022,R:4,SHAW BLVD.,7.68,Public,Taxi,701,5385
2022,R:5,ORTIGAS AVE.,5.54,Public,Taxi,633,3505
2022,R:6,MAGSAYSAY BLVD.,2.2,Public,Taxi,2470,5434
2022,R:6,AURORA BLVD.,11.42,Public,Taxi,490,5600
2022,R:7,QUEZON AVE.,7.73,Public,Taxi,1682,13003
2022,R:7,COMMONWEALTH AVE.,12.4,Public,Taxi,1292,16026
2022,R:8,A. BONIFACIO,15.98,Public,Taxi,83,1319
2022,R:9,RIZAL AVE.,15.95,Public,Taxi,177,2825
2022,R:10,DEL PAN,7.32,Public,Taxi,266,1950
2022,MARCOS HIGHWAY,MARCOS HIGHWAY,3.7,Public,Taxi,1749,6473
2022,MCARTHUR HIGHWAY,MCARTHUR HIGHWAY,8.35,Public,Taxi,438,3659
2022,C:1,RECTO,3.24,Public,PUB,28,90
2022,C:2,MENDOZA,6.61,Public,PUB,23,155
2022,C:2,PRES. QUIRINO AVE.,3.6,Public,PUB,58,209
2022,C:3,ARANETA AVE.,10.76,Public,PUB,2,26
